website_value,age,gender,gender_identity,yearly_income,Now please mark two in the options below,investment_types,platform_historical_stock,use_tradingview.com,platform_decision,narrative_tracking_platform,premium_onedollar
8,18-25,Female,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,6,7,Yes
9,26-35,Female,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,6,Yes
9,26-35,Female,,65.000-74.999 USD,2,Yes in crypto,Yes,Yes,8,9,Yes
10,36-45,Male,,65.000-74.999 USD,2,Yes in both crypto and stocks,Yes,Yes,10,1,No
9,18-25,Male,,,2,Yes in both crypto and stocks,Yes,No,6,9,No
8,18-25,Female,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
10,18-25,Female,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,10,8,Yes
10,26-35,Female,,45.000-54.999 USD,2,Yes in stocks,No,No,10,10,No
9,46-55,Female,,>75.000 USD,2,Yes in crypto,Yes,Yes,8,7,Yes
9,36-45,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,8,Yes
7,46-55,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,8,Yes
8,36-45,Female,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,8,Yes
10,36-45,Male,,>75.000 USD,2,Yes in stocks,Yes,No,10,5,No
10,26-35,Female,,45.000-54.999 USD,2,Yes in crypto,No,No,8,9,No
8,36-45,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,8,Yes
9,36-45,Male,,65.000-74.999 USD,2,Yes in crypto,Yes,Yes,9,9,Yes
9,46-55,Female,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,8,Yes
9,26-35,Female,,65.000-74.999 USD,2,Yes in crypto,Yes,No,4,4,No
10,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,8,5,Yes
9,26-35,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,10,Yes
10,18-25,Male,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
9,26-35,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,8,Yes
9,36-45,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,8,Yes
8,36-45,Female,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,5,Yes
9,46-55,Male,,55.000-64.999 USD,2,Yes in crypto,Yes,Yes,9,7,Yes
9,18-25,Male,,35.000-44.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
8,18-25,Male,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,9,8,Yes
9,26-35,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,10,Yes
10,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,7,8,No
9,18-25,Male,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,10,Yes
9,36-45,Female,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,7,Yes
8,56-65,Male,,25.000-34.999 USD,2,Yes in crypto,Yes,Yes,10,10,Yes
10,46-55,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,1,Dont know
5,46-55,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,10,5,No
8,36-45,Female,,25.000-34.999 USD,2,Yes in stocks,No,No,6,8,No
7,36-45,Female,,65.000-74.999 USD,2,Yes in stocks,No,No,5,7,Dont know
5,36-45,Female,,45.000-54.999 USD,2,Yes in crypto,No,No,9,8,Yes
7,36-45,Male,,25.000-34.999 USD,2,Yes in both crypto and stocks,No,No,7,8,No
8,18-25,Female,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,5,7,Yes
7,26-35,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,Yes,10,7,No
7,26-35,Male,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,7,7,Yes
8,66,Male,,65.000-74.999 USD,2,Yes in crypto,Yes,No,9,9,No
10,18-25,Male,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,10,9,Yes
7,36-45,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,No,9,5,No
8,56-65,Male,,35.000-44.999 USD,2,Yes in stocks,Yes,No,9,8,No
8,18-25,Female,,45.000-54.999 USD,2,Yes in both crypto and stocks,Yes,Yes,7,9,Yes
7,18-25,Female,,65.000-74.999 USD,2,Yes in crypto,Yes,Yes,9,8,Yes
10,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
7,26-35,Male,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,7,7,Yes
7,26-35,Male, ,25.000-34.999 USD,2,Yes in crypto,Yes,Yes,7,8,Yes
9,18-25,Female,,35.000-44.999 USD,2,Yes in crypto,Yes,Yes,8,6,Yes
8,56-65,Female,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,7,7,Yes
9,18-25,Female,,>75.000 USD,6,Yes in crypto,Yes,Yes,9,9,Yes
7,46-55,Female,,65.000-74.999 USD,2,Yes in both crypto and stocks,Yes,Yes,7,9,Yes
10,26-35,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,No,10,5,No
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
5,26-35,Male,,,3,Yes in crypto,Yes,Yes,3,3,Yes
8,36-45,Female,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,No,8,7,Yes
10,26-35,Female,,25.000-34.999 USD,2,Yes in crypto,Yes,No,10,7,No
9,18-25,Male,,>75.000 USD,2,Yes in crypto,Yes,No,6,8,Yes
10,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
7,26-35,Other,accompanying,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,7,7,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
5,56-65,Male,,35.000-44.999 USD,2,Yes in stocks,Yes,No,8,8,No
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,18-25,Male,,65.000-74.999 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
9,18-25,Female,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,8,9,Yes
9,26-35,Female,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,9,Yes
9,36-45,Female,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,7,Yes
8,26-35,Male,,25.000-34.999 USD,2,Yes in stocks,Yes,No,6,2,Yes
10,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
8,56-65,Male,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,6,7,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in crypto,Yes,Yes,9,8,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,18-25,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Yes
9,18-25,Female,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
8,26-35,Male,,35.000-44.999 USD,2,Yes in crypto,Yes,Yes,8,6,Dont know
9,36-45,Female,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,7,Yes
9,18-25,Female,,>75.000 USD,2,Yes in stocks,Yes,Yes,10,9,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
8,18-25,Male,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,8,9,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
7,26-35,Female,,35.000-44.999 USD,2,Yes in crypto,Yes,Yes,6,9,Yes
9,18-25,Male,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
8,26-35,Female,,35.000-44.999 USD,2,Yes in crypto,Yes,Yes,9,7,No
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Male,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,8,9,Yes
8,46-55,Female,,35.000-44.999 USD,2,Yes in crypto,Yes,Yes,6,5,Yes
8,18-25,Male,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,66,Female,,45.000-54.999 USD,2,Yes in both crypto and stocks,Yes,No,10,10,No
9,18-25,Male,,55.000-64.999 USD,2,Yes in crypto,Yes,Yes,9,8,Yes
9,18-25,Female,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
6,46-55,Female,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,7,8,Yes
10,18-25,Male,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,9,10,Yes
9,36-45,Male,,25.000-34.999 USD,2,Yes in both crypto and stocks,Yes,Yes,9,8,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
9,18-25,Female,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
8,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,8,7,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,10,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,7,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,8,8,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,8,7,Yes
8,18-25,Male,,45.000-54.999 USD,2,Yes in crypto,Yes,Yes,9,9,Yes
9,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,8,8,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
9,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
7,26-35,Female,,35.000-44.999 USD,2,Yes in both crypto and stocks,No,No,7,7,Yes
8,18-25,Female,,65.000-74.999 USD,2,Yes in stocks,Yes,Yes,9,7,Yes
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,8,7,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,8,8,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Male,,45.000-54.999 USD,7,Yes in crypto,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,8,Yes
9,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
5,26-35,Male,,25.000-34.999 USD,2,Yes in both crypto and stocks,No,No,4,5,No
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,8,9,Yes
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,8,9,Yes
9,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
2,18-25,Female,,45.000-54.999 USD,2,Yes in both crypto and stocks,Yes,Yes,8,8,Yes
9,18-25,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,8,7,Yes
8,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,8,8,Yes
9,18-25,Male,,35.000-44.999 USD,2,Yes in stocks,Yes,Yes,9,10,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
8,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,8,9,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,18-25,Male,,25.000-34.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Male,,35.000-44.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
5,18-25,Female,,>75.000 USD,2,Yes in crypto,Yes,Yes,7,7,Yes
10,18-25,Male,,25.000-34.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
8,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
9,18-25,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,9,9,Yes
10,66,Female,,25.000-34.999 USD,2,Yes in both crypto and stocks,No,No,5,10,No
7,36-45,Male,,65.000-74.999 USD,2,Yes in both crypto and stocks,No,Yes,6,4,No
7,26-35,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,No,10,7,No
10,46-55,Female,,25.000-34.999 USD,2,Yes in stocks,No,No,10,10,No
10,26-35,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,Yes,10,10,Dont know
7,36-45,Female,,55.000-64.999 USD,2,Yes in stocks,Yes,No,9,8,No
10,36-45,Female,,45.000-54.999 USD,2,Yes in stocks,Yes,No,10,10,No
10,36-45,,,,,,,,,,
5,36-45,Male,,45.000-54.999 USD,2,Yes in stocks,Yes,Yes,10,2,No
8,36-45,Male,,35.000-44.999 USD,2,Yes in both crypto and stocks,Yes,No,8,8,Dont know
9,36-45,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,8,8,No
9,56-65,Male,,>75.000 USD,2,Yes in stocks,Yes,No,10,10,Dont know
8,18-25,Female,,55.000-64.999 USD,2,Yes in both crypto and stocks,Yes,No,7,8,Yes
7,56-65,Female,,45.000-54.999 USD,2,Yes in both crypto and stocks,Yes,No,8,7,No
7,18-25,Male,,45.000-54.999 USD,2,Yes in stocks,No,Yes,9,8,Dont know
7,56-65,Male,,,2,Yes in stocks,Yes,No,5,1,No
8,26-35,Female,,,2,Yes in both crypto and stocks,Yes,Yes,10,9,Dont know
8,36-45,Male,,25.000-34.999 USD,2,Yes in stocks,Yes,No,9,7,Dont know
3,26-35,Male,,>75.000 USD,2,Yes in stocks,Yes,No,5,7,No
10,56-65,Male,,>75.000 USD,2,Yes in stocks,Yes,No,10,10,No
5,46-55,Male,,>75.000 USD,2,Yes in stocks,Yes,No,2,2,No
6,36-45,Male,,>75.000 USD,2,Yes in stocks,Yes,No,7,8,No
8,46-55,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,8,7,Dont know
8,26-35,Male,,>75.000 USD,2,Yes in stocks,Yes,No,6,7,No
10,36-45,Male,,>75.000 USD,2,Yes in both crypto and stocks,Yes,No,9,7,Dont know
9,26-35,Male,,>75.000 USD,2,Yes in stocks,Yes,No,9,10,No
6,36-45,Male,,55.000-64.999 USD,2,Yes in stocks,Yes,Yes,10,7,No
8,18-25,Male,,,2,Yes in crypto,No,No,8,8,Yes
1,36-45,Male,,,2,Yes in stocks,Yes,No,6,1,No
